19	1
27	1
36	1
39	1
41	1
42	1
43	2
44	1
45	1
46	2
49	1
51	4
52	1
53	2
54	1
55	1
56	2
57	1
59	2
60	2
61	1
62	1
64	1
65	4
67	2
68	4
69	1
70	5
71	2
72	4
73	2
74	2
75	2
76	5
77	3
78	4
79	8
80	1
81	7
82	8
83	14
84	18
85	12
86	19
87	10
88	16
89	20
90	31
91	21
92	30
93	35
94	33
95	33
96	47
97	61
98	66
99	78
100	87
101	111
102	152
103	154
104	171
105	167
106	153
107	134
108	163
109	153
110	156
111	180
112	216
113	228
114	244
115	310
116	305
117	333
118	349
119	322
120	274
121	269
122	222
123	243
124	272
125	273
126	236
127	244
128	318
129	327
130	373
131	344
132	363
133	348
134	316
135	297
136	270
137	221
138	252
139	238
140	252
141	229
142	253
143	289
144	251
145	330
146	304
147	275
148	279
149	257
150	301
151	229
152	253
153	237
154	209
155	229
156	194
157	188
158	221
159	224
160	260
161	285
162	250
163	224
164	162
165	169
166	152
167	139
168	150
169	139
170	146
171	127
172	156
173	124
174	168
175	138
176	128
177	127
178	121
179	117
180	109
181	89
182	80
183	84
184	78
185	88
186	88
187	87
188	77
189	88
190	75
191	74
192	72
193	76
194	66
195	57
196	35
197	41
198	38
199	63
200	31
201	40
202	52
203	55
204	39
205	42
206	30
207	35
208	29
209	29
210	31
211	23
212	23
213	27
214	24
215	25
216	23
217	22
218	16
219	17
220	18
221	19
222	17
223	10
224	17
225	10
226	11
227	12
228	12
229	18
230	7
231	12
232	5
233	11
234	5
235	7
236	8
237	7
238	7
239	6
240	5
241	11
242	8
243	5
244	4
245	5
246	5
247	6
248	5
249	2
250	2
251	3
252	4
253	1
254	2
255	1
256	2
257	2
258	2
260	2
261	2
262	2
263	3
269	1
270	1
271	1
272	1
273	2
274	2
275	2
279	1
280	1
284	1
288	1
290	1
295	1
300	1
315	1
